date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2024-09-03,-0.00014653336256742477,0,1,0.0,10057.939918691749,0.011218908895092439
2024-09-04,0.0009201156596342722,1,1,0.0,9995.94678251075,0.004986158248865788
2024-09-05,0.0035998523235321045,-2,1,0.0,9799.556675520393,-0.014265911673587013
2024-09-06,0.0035190762428101152,1,0,0.0,9794.656897182633,0
2024-09-09,0.0014675968947509925,1,1,0.0,9879.910851479815,0.008704128709368495
2024-09-10,0.004794853273779154,1,1,0.0,9838.659242687243,0.0044924846236592195
2024-09-11,0.004645324156930049,1,1,0.0,9774.030568237013,-0.0021058755974957422
2024-09-12,0.0015473168653746445,1,1,0.0,9794.656897182633,0.0
2024-09-13,0.0017071301117539406,1,1,0.0,9819.408282097644,0.002527029295138449
2024-09-16,0.0011767074465751648,1,1,0.0,9914.287716689623,0.01221388566876733
2024-09-17,0.0012366000252465408,1,1,0.0,9873.036107897055,0.008002241583058053
2024-09-18,0.00024374681136881313,1,1,0.0,9866.160315215624,0.007300247347465404
2024-09-19,0.0015881061553955078,1,1,0.0,9710.777262142801,-0.008563815549675733
2024-09-20,6.273668259382248e-05,0,1,0.0,9851.034410595415,0.00575594571658734
2024-09-23,0.0016462013979131977,1,1,0.0,9863.410627602254,0.007019513918797668
2024-09-24,0.003278958766410748,1,1,0.0,9808.407433446822,0.001403881361903092
2024-09-25,0.004365349964549144,1,1,0.0,9824.907657324384,0.003088496152473919
2024-09-26,0.0018456787414227922,1,1,0.0,9818.032913741623,0.0023866090261634772
2024-09-27,0.00038655917160212994,1,1,0.0,9871.660739541034,0.007861821314083082
2024-09-30,0.0012576634374757607,1,1,0.0,9881.286219835834,0.008844548978343468
2024-10-01,0.00134985886203746,1,1,0.0,9860.659890890212,0.006738673380847725
2024-10-02,-0.000791904516518116,-1,1,0.0,9759.52288539824,-0.0030886032617561273
2024-10-03,0.0027946409148474536,1,0,0.0,9754.643123955542,0
2024-10-04,0.0024714479222893715,1,1,0.0,9783.923657863423,0.003001702218707786
2024-10-07,0.0038937504092852273,-2,1,0.0,9617.372322125415,-0.013579144663725926
2024-10-08,0.0037898761220276356,1,0,0.0,9612.563635964352,0
2024-10-09,0.0032254812928537526,1,1,0.0,9665.356635690943,0.00549208324916263
2024-10-10,0.003417049845059713,1,1,0.0,9620.899093828706,0.0008671420216317972
2024-10-11,0.0019288599335898955,1,1,0.0,9665.356635690943,0.00549208324916263
2024-10-14,-0.0003140953679879506,-1,1,0.0,9767.44606532293,0.01662081017352544
2024-10-15,0.0001347097762239476,0,0,0.0,9767.44606532293,0
2024-10-16,-0.0005464393179863691,-1,0,0.0,9762.56234229027,0
2024-10-17,-0.001505187867830197,-1,-1,0.0,9863.463221192129,0.01033549137655865
2024-10-18,-0.0005984363767007986,-1,-1,0.0,9788.823651494646,0.002690001690500199
2024-10-21,-0.0005246674021085104,-1,-1,0.0,9925.663389878695,0.016706786791198382
2024-10-22,0.0025820763354810574,1,-1,0.0,9920.700558183757,0.016706786791198382
2024-10-23,0.0037289646764596305,1,0,0.0,9915.740207904666,0
2024-10-24,0.0032337826366225877,1,1,0.0,9864.439485594701,-0.005173665428332695
2024-10-25,0.0033139726147055626,-2,1,0.0,9803.836229696562,-0.010790884559763646
2024-10-28,0.002764512629558643,1,0,0.0,9798.934311581716,0
2024-10-29,0.002452428142229716,-2,1,0.0,9686.180292976058,-0.011012269525592998
2024-10-30,0.0022160563773165145,1,0,0.0,9681.33720282957,0
2024-10-31,-0.0002793876143793265,-1,1,0.0,9602.978095592653,-0.007597629821439005
2024-11-01,0.00045494711957871914,1,0,0.0,9598.176606544857,0
2024-11-04,-4.9989670515060425e-05,0,1,0.0,9602.600908535807,0.0004609523425452682
2024-11-05,-0.0006968647552033266,-1,1,0.0,9636.126261096751,0.0044560680296256835
2024-11-06,-0.0015970580279827118,-1,0,0.0,9631.308197966204,0
2024-11-07,0.0013472564557256799,1,-1,0.0,9720.826040499276,0.009799363184688901
2024-11-08,0.00040553859435021877,1,0,0.0,9715.965627479027,0
2024-11-11,0.0005357684567570686,1,1,0.0,9620.308984839143,-0.00984530475996589
2024-11-12,0.0015168344446768363,-2,1,0.0,9591.217291034436,-0.012345692995866667
2024-11-13,-3.274332266300917e-05,0,0,0.0,9591.217291034436,0
2024-11-14,0.0005017616786062717,1,0,0.0,9586.42168238892,0
2024-11-15,0.0020312626535693803,-2,1,0.0,9466.630533307358,-0.012001919984880394
2024-11-18,0.00025259800410519045,1,0,0.0,9461.897218040705,0
2024-11-19,-0.002557355910539627,-1,1,0.0,9562.58519637207,0.011146988848142638
2024-11-20,-0.002198226749897003,-1,0,0.0,9557.803903773885,0
2024-11-21,-0.0012732890124122302,-1,-1,0.0,9465.480394448157,-0.009659489800713938
2024-11-22,-0.0032434803433716297,-2,-1,0.0,9436.54365574447,-0.012193137362805306
2024-11-25,-0.00300231808796525,-1,0,0.0,9431.8253839166,0
2024-11-26,-0.002881726250052452,-1,-1,0.0,9396.625726186217,-0.003732009054197057
2024-11-27,-0.003353208963138362,-1,-1,0.0,9414.225555051407,-0.0018660045270985286
2024-11-29,-0.00017467133390406767,0,-1,0.0,9465.556990564832,0.0035763603836170286
